院校,专业方向,2025招生人数(总),2025招生人数(统考),2025报录比,2025复试线,数据来源/备注
北京外国语大学,英语语言文学,约50人(含推免),36人,约12:1(参考),358分,英语学院;专业课611+811;推免约14人
北京外国语大学,外国语言学及应用语言学,待查,待查,待查,待查,含在英语语言文学或单独招生
北京外国语大学,翻译学,待查,待查,待查,待查,高翻学院2026停招翻译学学硕
北京外国语大学,学科教学(英语),—,—,—,—,北外未开设此专业
北京外国语大学,比较文学与世界文学,待查,待查,待查,待查,外国文学研究所
北京外国语大学,英语笔译,待查,待查,待查,待查,MTI常年位居全国前三
上海外国语大学,英语语言文学,110人(含推免),约33-77人,约15:1(参考),待查,推免录取一般不超过总人数的70%;2026年大幅扩招至接近2023年水平
上海外国语大学,外国语言学及应用语言学,含在英语语言文学,含在英语语言文学,含在英语语言文学,待查,初试不区分方向
上海外国语大学,翻译学,18人(笔译13+口译5),约5-10人,约20:1(参考),待查,翻译研究(笔译)13人;(口译)5人;可招收直博生
上海外国语大学,学科教学(英语),待查,待查,待查,待查,
上海外国语大学,比较文学与世界文学,待查,待查,待查,待查,文学研究院比较文学与跨文化研究拟招9人(博士参考)
上海外国语大学,英语笔译,待查,待查,待查,待查,法律翻译方向有招生
北京师范大学,英语语言文学,待查,待查,待查,待查,外国语言文学学院招生
北京师范大学,外国语言学及应用语言学,待查,待查,待查,待查,
北京师范大学,翻译学,待查,待查,待查,待查,
北京师范大学,学科教学(英语),85人(北京+珠海),北京约15人/珠海约70人,约10:1(参考),360分(2023参考),教育学部15人(推免5人);外国语言文学学院珠海70人(推免接收)
北京师范大学,比较文学与世界文学,待查,待查,待查,待查,文学院招生
北京师范大学,英语笔译,45人,约45人(推免接收),约8:1(参考),待查,外国语言文学学院北京校区
华东师范大学,英语语言文学,31人(含推免23人),约8人,约11:1(2024参考),399分(2024),2024年报考91人录取11人;2025年统考约8人
华东师范大学,外国语言学及应用语言学,待查,待查,待查,待查,外语学院招生
华东师范大学,翻译学,待查,待查,待查,待查,
华东师范大学,学科教学(英语),待查,约10人,约20.4:1,待查,2025年:204人实考录取10人;竞争极大
华东师范大学,比较文学与世界文学,待查,待查,待查,待查,
华东师范大学,英语笔译,待查,待查,待查,待查,
南京大学,英语语言文学,35人(A组20+B组15),约20人(含推免),约24:1(2021参考),待查,A组(英美文学与文化)20人;B组(语言学/翻译学)15人;国家重点学科
南京大学,外国语言学及应用语言学,3人,约1人(推免2人),极高,待查,2025年推免拟录取2人
南京大学,翻译学,含在B组,含在B组,含在B组,待查,英语语言文学B组含翻译学方向
南京大学,学科教学(英语),5人,约2人(推免3人),极高,待查,教育研究院招生
南京大学,比较文学与世界文学,待查,待查,待查,待查,文学院招生
南京大学,英语笔译,28人,约13人(推免15人),约15:1(参考),待查,2025年推免拟录取15人
复旦大学,英语语言文学,15人,约5-10人,约10:1(历史参考),待查,外国语言文学学院;2017年报考128人录取18人(含推免7人)
复旦大学,外国语言学及应用语言学,待查,待查,待查,待查,
复旦大学,翻译学,待查,待查,待查,待查,
复旦大学,学科教学(英语),—,—,—,—,复旦未开设此专业(无教育硕士)
复旦大学,比较文学与世界文学,待查,待查,待查,待查,
复旦大学,英语笔译,待查,待查,约12:1(历史参考),待查,2017年报考268人录取22人(含推免10人)
浙江大学,英语语言文学,待查,待查,待查,待查,外国语学院招生
浙江大学,外国语言学及应用语言学,待查,待查,待查,待查,
浙江大学,翻译学,待查,待查,待查,待查,
浙江大学,学科教学(英语),待查,待查,待查,待查,教育学院或外国语学院
浙江大学,比较文学与世界文学,待查,待查,待查,待查,
浙江大学,英语笔译,待查,待查,待查,待查,
北京大学,英语语言文学,16人,6人(推免10人),约20:1(参考),365分(2024),"外国语学院;2024年录取6人,最低分365"
北京大学,外国语言学及应用语言学,待查,待查,待查,待查,
北京大学,翻译学,待查,待查,待查,待查,
北京大学,学科教学(英语),—,—,—,—,北大未开设此专业
北京大学,比较文学与世界文学,待查,待查,待查,待查,
北京大学,英语笔译,24人,19人(推免5人),约15:1(参考),待查,2025年招生目录数据
清华大学,英语语言文学,待查,待查,待查,待查,人文学院招生
清华大学,外国语言学及应用语言学,待查,待查,待查,待查,
清华大学,翻译学,—,—,—,—,清华未设翻译学学硕
清华大学,学科教学(英语),—,—,—,—,清华未开设教育硕士(学科教学)
清华大学,比较文学与世界文学,待查,待查,待查,待查,
清华大学,英语笔译,待查,待查,待查,待查,
广东外语外贸大学,英语语言文学,28人,16人(推免12人),约8:1(参考),待查,英语语言文化学院
广东外语外贸大学,外国语言学及应用语言学,46人,31人(推免15人),约6:1(参考),待查,英语语言文化学院46人+研究中心8人+商务英语学院9人
广东外语外贸大学,翻译学,50人,32人(推免18人),约8:1(参考),待查,高级翻译学院
广东外语外贸大学,学科教学(英语),20人,12人(推免8人),约10:1(参考),待查,英语教育学院
广东外语外贸大学,比较文学与世界文学,12人(比较文化研究),10人(推免2人),约5:1(参考),待查,英语语言文化学院(比较文化研究)
广东外语外贸大学,英语笔译,95人,64人(推免31人),约10:1(参考),待查,高级翻译学院;另有英语口译65人(推免21人)
四川大学,英语语言文学,待查,待查,待查,待查,外国语学院2025年硕士招生含此专业
四川大学,外国语言学及应用语言学,待查,待查,待查,待查,
四川大学,翻译学,待查,待查,待查,待查,
四川大学,学科教学(英语),待查,待查,待查,待查,
四川大学,比较文学与世界文学,待查,待查,待查,待查,文学与新闻学院招生
四川大学,英语笔译,待查,待查,待查,待查,外国语学院2025年硕士招生含055101
武汉大学,英语语言文学,待查,待查,待查,待查,外国语言文学学院招生
武汉大学,外国语言学及应用语言学,待查,待查,待查,待查,
武汉大学,翻译学,待查,待查,待查,待查,
武汉大学,学科教学(英语),待查,待查,待查,待查,
武汉大学,比较文学与世界文学,待查,待查,待查,待查,
武汉大学,英语笔译,待查,待查,待查,待查,
厦门大学,英语语言文学,16人,16人,约15:1(参考),待查,外文学院;较2025年8人翻倍;专业课单科线90分
厦门大学,外国语言学及应用语言学,6人,6人,约10:1(参考),待查,外语教学部招生
厦门大学,翻译学,待查,待查,待查,待查,
厦门大学,学科教学(英语),待查,待查,待查,待查,教育学院招生
厦门大学,比较文学与世界文学,待查,待查,待查,待查,
厦门大学,英语笔译,31人(全23+非全8),31人,约15:1(参考),待查,2022年报录比约54:1(极高)
中山大学,英语语言文学,约15人,约10人,约12:1(参考),待查,外国语学院;2026年统考计划10人作为参考
中山大学,外国语言学及应用语言学,待查,待查,待查,待查,
中山大学,翻译学,待查,待查,待查,待查,
中山大学,学科教学(英语),待查,待查,待查,待查,
中山大学,比较文学与世界文学,待查,待查,待查,待查,
中山大学,英语笔译,待查,待查,待查,待查,2022年参考:全日制13人+非全10人
西安外国语大学,英语语言文学,60人(含推免),50人(推免2人),约5:1(参考),351分,"英文学院;拟招60人含推免,实际推免仅2人"
西安外国语大学,外国语言学及应用语言学,约84人,81人(推免3人),约4:1(参考),351分,英文学院;含商务英语方向11人
西安外国语大学,翻译学,13人,13人(推免0人),约4:1(参考),351分,英文学院
西安外国语大学,学科教学(英语),109人,102人(推免7人),约5:1(参考),378分,英语师范学院·教育学院
西安外国语大学,比较文学与世界文学,—,—,—,—,西外未设此专业
西安外国语大学,英语笔译,115人,112人(推免3人),约6:1(参考),355分,高级翻译学院;另有英语口译20人(推免1人)
华中师范大学,英语语言文学,待查,待查,待查,待查,外国语学院招生
华中师范大学,外国语言学及应用语言学,待查,待查,待查,待查,
华中师范大学,翻译学,待查,待查,待查,待查,
华中师范大学,学科教学(英语),52人,26人(推免26人),约24:1,368分,2025年全日制统考26人;2024年分数线402分;2026年扩招至58人
华中师范大学,比较文学与世界文学,待查,待查,待查,待查,文学院招生
华中师范大学,英语笔译,21人,13人(推免8人),约10:1(参考),待查,外国语学院;另有英语口译10人(推免4人)
湖南师范大学,英语语言文学,待查,待查,待查,待查,外国语学院招生
湖南师范大学,外国语言学及应用语言学,待查,待查,待查,待查,
湖南师范大学,翻译学,待查,待查,待查,待查,
湖南师范大学,学科教学(英语),46人(全日制),46人,5.04:1,待查,2025年232人报考录取46人;另有非全和特拉华联培项目
湖南师范大学,比较文学与世界文学,待查,待查,待查,待查,
湖南师范大学,英语笔译,41人,41人,约6:1(参考),待查,外国语学院;另有英语口译14人
南京师范大学,英语语言文学,待查,待查,待查,待查,外国语学院招生
南京师范大学,外国语言学及应用语言学,待查,待查,待查,待查,
南京师范大学,翻译学,待查,待查,待查,待查,
南京师范大学,学科教学(英语),待查,待查,约16:1(2020参考),待查,2020年600+报考录取37人;近年报录比约20:1
南京师范大学,比较文学与世界文学,待查,待查,待查,待查,
