院校,专业方向,2026招生人数(总),2026招生人数(统考),2026报录比,数据来源/备注
北京外国语大学,英语语言文学,待查,待查,待公布,2026年招生目录部分专业已发布
北京外国语大学,外国语言学及应用语言学,待查,待查,待公布,
北京外国语大学,翻译学,14人(英语学院),约14人(推免占比低),待公布,高翻学院2026停招翻译学学硕
北京外国语大学,学科教学(英语),—,—,—,北外未开设此专业
北京外国语大学,比较文学与世界文学,待查,待查,待公布,
北京外国语大学,英语笔译,待查,待查,待公布,MTI常年位居全国前三
上海外国语大学,英语语言文学,110人(含推免),约33-77人,待公布,2026年大幅扩招至接近2023年水平;推免一般不超过70%
上海外国语大学,外国语言学及应用语言学,待查,待查,待公布,含在英语语言文学或单独招生
上海外国语大学,翻译学,待查,待查,待公布,翻译研究(笔译)约13人;(口译)约5人
上海外国语大学,学科教学(英语),待查,待查,待公布,
上海外国语大学,比较文学与世界文学,待查,待查,待公布,文学研究院比较文学与跨文化研究拟招9人(博士参考)
上海外国语大学,英语笔译,待查,待查,待公布,法律翻译方向有招生
北京师范大学,英语语言文学,待查,待查,待公布,外国语言文学学院招生
北京师范大学,外国语言学及应用语言学,待查,待查,待公布,
北京师范大学,翻译学,待查,待查,待公布,
北京师范大学,学科教学(英语),85人,北京约15人/珠海约70人,待公布,教育学部15人(推免5人);外国语言文学学院珠海70人(推免接收)
北京师范大学,比较文学与世界文学,待查,待查,待公布,文学院招生
北京师范大学,英语笔译,45人,约45人(推免接收),待公布,外国语言文学学院北京校区
华东师范大学,英语语言文学,31人(含推免23人),约8人,待公布,2025年参考:统考约8人;2026年待更新
华东师范大学,外国语言学及应用语言学,待查,待查,待公布,外语学院招生
华东师范大学,翻译学,待查,待查,待公布,
华东师范大学,学科教学(英语),待查,待查,约20.4:1(2025参考),2025年:204人实考录取10人;2026年待公布
华东师范大学,比较文学与世界文学,待查,待查,待公布,
华东师范大学,英语笔译,待查,待查,待公布,
南京大学,英语语言文学,约36人(A组+B组),约20人(含推免),待公布,A组(英美文学与文化)20人;B组(语言学/翻译学)16人;国家重点学科
南京大学,外国语言学及应用语言学,3人,约1人(推免2人),待公布,2026年推免拟录取2人
南京大学,翻译学,含在B组,含在B组,待公布,英语语言文学B组含翻译学方向
南京大学,学科教学(英语),5人,约2人(推免3人),待公布,教育研究院招生
南京大学,比较文学与世界文学,待查,待查,待公布,文学院招生
南京大学,英语笔译,28人,约13人(推免15人),待公布,2026年推免拟录取15人
复旦大学,英语语言文学,待查,待查,待公布,外国语言文学学院招生
复旦大学,外国语言学及应用语言学,待查,待查,待公布,
复旦大学,翻译学,待查,待查,待公布,
复旦大学,学科教学(英语),—,—,—,复旦未开设此专业(无教育硕士)
复旦大学,比较文学与世界文学,待查,待查,待公布,
复旦大学,英语笔译,待查,待查,待公布,
浙江大学,英语语言文学,待查,待查,待公布,外国语学院招生
浙江大学,外国语言学及应用语言学,待查,待查,待公布,
浙江大学,翻译学,待查,待查,待公布,
浙江大学,学科教学(英语),待查,待查,待公布,教育学院或外国语学院
浙江大学,比较文学与世界文学,待查,待查,待公布,
浙江大学,英语笔译,待查,待查,待公布,
北京大学,英语语言文学,约16人,约16人,待公布,外国语学院;2024年参考数据
北京大学,外国语言学及应用语言学,待查,待查,待公布,
北京大学,翻译学,待查,待查,待公布,
北京大学,学科教学(英语),—,—,—,北大未开设此专业
北京大学,比较文学与世界文学,待查,待查,待公布,
北京大学,英语笔译,约24人,约19人(推免5人),待公布,2024年参考数据
清华大学,英语语言文学,待查,待查,待公布,人文学院招生
清华大学,外国语言学及应用语言学,待查,待查,待公布,
清华大学,翻译学,—,—,—,清华未设翻译学学硕
清华大学,学科教学(英语),—,—,—,清华未开设教育硕士(学科教学)
清华大学,比较文学与世界文学,待查,待查,待公布,
清华大学,英语笔译,待查,待查,待公布,
广东外语外贸大学,英语语言文学,28人,约16人(推免12人),待公布,英语语言文化学院
广东外语外贸大学,外国语言学及应用语言学,46人,约31人(推免15人),待公布,英语语言文化学院46人+国际商务英语学院9人+研究中心10人
广东外语外贸大学,翻译学,50人,约40人(推免10人),待公布,高级翻译学院
广东外语外贸大学,学科教学(英语),40人,约30人(推免10人),待公布,英语教育学院
广东外语外贸大学,比较文学与世界文学,12人(比较文化研究),约10人(推免2人),待公布,英语语言文化学院(比较文化研究)
广东外语外贸大学,英语笔译,100人,约80人(推免20人),待公布,高级翻译学院;另有英语口译50人
四川大学,英语语言文学,待查,待查,待公布,外国语学院2026年硕士招生含此专业
四川大学,外国语言学及应用语言学,待查,待查,待公布,
四川大学,翻译学,待查,待查,待公布,
四川大学,学科教学(英语),待查,待查,待公布,
四川大学,比较文学与世界文学,待查,待查,待公布,文学与新闻学院招生
四川大学,英语笔译,待查,待查,待公布,外国语学院2026年硕士招生含055101
武汉大学,英语语言文学,待查,待查,待公布,外国语言文学学院招生
武汉大学,外国语言学及应用语言学,待查,待查,待公布,
武汉大学,翻译学,待查,待查,待公布,
武汉大学,学科教学(英语),待查,待查,待公布,
武汉大学,比较文学与世界文学,待查,待查,待公布,
武汉大学,英语笔译,待查,待查,待公布,
厦门大学,英语语言文学,16人,约16人,待公布,外文学院;较2025年8人翻倍;专业课单科线90分
厦门大学,外国语言学及应用语言学,待查,待查,待公布,
厦门大学,翻译学,待查,待查,待公布,
厦门大学,学科教学(英语),待查,待查,待公布,教育学院招生
厦门大学,比较文学与世界文学,待查,待查,待公布,
厦门大学,英语笔译,待查,待查,待公布,
中山大学,英语语言文学,10人,10人,待公布,外国语学院;2026年统考计划
中山大学,外国语言学及应用语言学,待查,待查,待公布,
中山大学,翻译学,待查,待查,待公布,
中山大学,学科教学(英语),待查,待查,待公布,
中山大学,比较文学与世界文学,待查,待查,待公布,
中山大学,英语笔译,待查,待查,待公布,2022年参考:全日制13人+非全10人
西安外国语大学,英语语言文学,待查,待查,待公布,2026年招生简章预计8-9月发布
西安外国语大学,外国语言学及应用语言学,待查,待查,待公布,
西安外国语大学,翻译学,待查,待查,待公布,
西安外国语大学,学科教学(英语),待查,待查,待公布,
西安外国语大学,比较文学与世界文学,待查,待查,待公布,
西安外国语大学,英语笔译,待查,待查,待公布,
华中师范大学,英语语言文学,待查,待查,待公布,外国语学院招生
华中师范大学,外国语言学及应用语言学,待查,待查,待公布,
华中师范大学,翻译学,待查,待查,待公布,
华中师范大学,学科教学(英语),58人,约28人(推免30人),约24:1(2025参考),2025年约47:1;2026年扩招至58人(含推免30人)
华中师范大学,比较文学与世界文学,待查,待查,待公布,文学院招生
华中师范大学,英语笔译,25人(英语翻译),约12人(推免13人),待公布,外国语学院;055100翻译专业下英语翻译方向
湖南师范大学,英语语言文学,待查,待查,待公布,外国语学院招生
湖南师范大学,外国语言学及应用语言学,待查,待查,待公布,
湖南师范大学,翻译学,待查,待查,待公布,
湖南师范大学,学科教学(英语),待查,待查,待公布,
湖南师范大学,比较文学与世界文学,待查,待查,待公布,
湖南师范大学,英语笔译,待查,待查,待公布,
南京师范大学,英语语言文学,待查,待查,待公布,外国语学院招生
南京师范大学,外国语言学及应用语言学,待查,待查,待公布,
南京师范大学,翻译学,待查,待查,待公布,
南京师范大学,学科教学(英语),待查,待查,待公布,
南京师范大学,比较文学与世界文学,待查,待查,待公布,
南京师范大学,英语笔译,待查,待查,待公布,
大连外国语大学,英语语言文学,待查,待查,待公布,2026年招生简章待发布
大连外国语大学,外国语言学及应用语言学,待查,待查,待公布,
大连外国语大学,翻译学,待查,待查,待公布,
大连外国语大学,学科教学(英语),待查,待查,待公布,
大连外国语大学,比较文学与世界文学,待查,待查,待公布,
大连外国语大学,英语笔译,待查,待查,待公布,
天津外国语大学,英语语言文学,待查,待查,待公布,2026年招生简章待发布
天津外国语大学,外国语言学及应用语言学,待查,待查,待公布,
天津外国语大学,翻译学,待查,待查,待公布,
天津外国语大学,学科教学(英语),待查,待查,待公布,
天津外国语大学,比较文学与世界文学,待查,待查,待公布,
天津外国语大学,英语笔译,待查,待查,待公布,
山东大学,英语语言文学,待查,待查,待公布,外国语学院招生
山东大学,外国语言学及应用语言学,待查,待查,待公布,
山东大学,翻译学,待查,待查,待公布,
山东大学,学科教学(英语),待查,待查,待公布,
山东大学,比较文学与世界文学,待查,待查,待公布,
山东大学,英语笔译,待查,待查,待公布,
吉林大学,英语语言文学,待查,待查,待公布,外国语学院招生
吉林大学,外国语言学及应用语言学,待查,待查,待公布,
吉林大学,翻译学,待查,待查,待公布,
吉林大学,学科教学(英语),待查,待查,待公布,
吉林大学,比较文学与世界文学,待查,待查,待公布,
吉林大学,英语笔译,待查,待查,待公布,
对外经济贸易大学,英语语言文学,待查,待查,待公布,英语学院招生
对外经济贸易大学,外国语言学及应用语言学,待查,待查,待公布,
对外经济贸易大学,翻译学,待查,待查,待公布,
对外经济贸易大学,学科教学(英语),—,—,—,贸大未开设教育硕士(学科教学)
对外经济贸易大学,比较文学与世界文学,待查,待查,待公布,
对外经济贸易大学,英语笔译,待查,待查,待公布,"2021年参考:英语笔译83人,口译10人"
中国人民大学,英语语言文学,待查,待查,待公布,外国语学院招生
中国人民大学,外国语言学及应用语言学,待查,待查,待公布,
中国人民大学,翻译学,待查,待查,待公布,
中国人民大学,学科教学(英语),—,—,—,人大未开设此专业
中国人民大学,比较文学与世界文学,待查,待查,待公布,文学院招生
中国人民大学,英语笔译,待查,待查,待公布,
